product_name,vendor_name,taxonomy_category,taxonomy_sub_category,product_description
Outreach Platform,OUTREACH CORP,Customer Operational Platforms,Sales Mgmt,"Outreach Platform (Optimize) is the first and only engagement and intelligence platform that helps sales teams manage workflows, gain actionable insights, and navigate the increasingly complex buying process-all in real-time-to beat your sales goals."
Salesloft Platform,SALESLOFT,Customer Operational Platforms,Sales Mgmt,"Salesloft is a sales engagement platform. 

Salesloft automates the manual tasks that hold you back and gives you the next best action to propel deals forward. Start and run your entire day in a single app while all your activity is automatically synced back to the CRM. Manage opportunities from creation to close and expand strategic accounts."
Responsys,ORACLE,Marketing Management,Messaging/Communication Systems,"Oracle Responsys Campaign Management is a cross-channel campaign management platform that delivers advanced intelligence at scale so you can create personalized messages based on the individual interests and preferences of customers and prospects.Oracle Responsys is an award-winning email marketing tools and functionalities that help improve conversions, strengthen customer relationships, and dramatically lessen messaging fragmentation. Email/marketing platform for Fios. Allows digital marketers to automate cross channel campaign orchestration. Email, SMS and Mobile App campaigns."
Whisbi Enterprise,WHISBI,Customer Operational Platforms,Sales Mgmt,"Whisbi is a global leader Our solution is solving digital transformation challenges for enterprises and creates an opportunity for Sales & Marketing professionals to increase sales conversion, improve live engagement and provide a differentiating online customer experience. Conversational sales platform"
Act On,ACT ON SOFTWARE INC,Marketing Management,Marketing Automation,Act-On Software is a software-as-a-service product for marketing automation.
GridBuddy,VALIDITY INC,Customer Operational Platforms,Sales Mgmt,"GridBuddy aims to increase productivity and improve the usability of Salesforce for sales reps, customer service agents and project managers. The sales enablemet solution adds increased functionality to Salesforce features, allowing for mass actions across multiple records. Simplify complex data management processes while working within your Salesforce CRM. Easily edit and manage data while accessing superior visibility into the pipeline with an improved Salesforce UX and simplified workflow."
Gong Enterprise,GONG,Customer Operational Platforms,Sales Mgmt,"The patented Gong Revenue Intelligence Platform  captures and understands every customer interaction, then delivers insights at scale, empowering revenue teams to make decisions based on data instead of opinions.

Gong provides people, deal, and market insights for sales, marketing, customer success, product, and executive leadership"
Ecommerce Marketing,INTERAMIND LTD,Marketing Management,Messaging/Communication Systems,"Convert your browsers into active shoppers today with a browse abandonment email marketing automation campaign. Browse abandonment emails are automatically generated and sent to the visitor based on the specific page/product the visitor has abandoned. Browse abandonment emails are highly personalized and include relevant personal product recommendations, personal dynamic coupons and more.
Interamind is now Remarkety"
Annual Data Files,DUN & BRADSTREET INC,Marketing Management,Market Intelligence,"D&B suppplies business information with a global database (The Dun & Bradstreet Data Cloud) covering some 315 million companies. It mines data to help customers manage risk, accelerate sales, and lower costs through Data-as-a-Service (DaaS) integrations, software and subscriptions, and files and reports. The company's product areas include credit and risk, sales and marketing, master data, supply chain management, and compliance."
Zoom Information Advanced Edition,ZOOM INFORMATION INC,Marketing Management,Market Intelligence,ZoomInfo is a go-to-market intelligence platform for B2B sales and marketing teams. The integrated cloud-based platform provides sellers and marketers with comprehensive information to help them find potential new customers.
HG Universe,HG INSIGHTS INC,Marketing Management,Market Intelligence,"HG Universe allows you to license large portions of our core data set to help you deliver more accurate models, forecasts and trend reports so that your sales and marketing teams can make better decisions and be more strategic in their B2B outreach."
Media Monitoring,TURBINE LABS LLC,Marketing Management,Market Intelligence,"Turbine Labs provides the in-depth work of media monitoring and analysis and then share the essential links with no ads, pop-ups, or trackers"
Decision Engine,15GIFTS LTD,Marketing Management,Marketing Automation,Intelligent decision engine platform which integrates recommendation technology into third party sites to help customers quickly find their ideal product.
Digital Experience Analytics Platform,CONTENT SQUARE INC,Marketing Management,Market Intelligence,"Digital experience analytics platform that enables businesses to track online customer behavior.

Our experience analytics platform captures every in-page interaction and micro-gesture to understand the how and why of customer behavior. We turn this analysis into scores, visualizations and recommendations that make it easier for every team member to do the right thing. Because our digital experience stack supports the full cycle of digital improvement, Contentsquare helps you make smarter decisions every step of the way.

Includes Digital Experience Analytics Platform, CS Digital Starter Packs, Client Success Program (CSP) - CS Digital, CS Find & Fix (Web and Mobile), CS Apps, CS Insights, Strategic Consulting Hours, Professional Services, Raw Data Export"
Sendgrid Email,TWILIO INC,Marketing Management,Messaging/Communication Systems,Delivering your transactional and marketing emails through the world's largest cloud-based email delivery platform.
Chili Piper Platform,CHILI PIPER,Customer Operational Platforms,Sales Mgmt,"The most advanced qualifying, routing, and booking software, used by the top B2B revenue teams, enables automatic scheduling and integration of customer calls into calendar based on leads.

Online Appointment Scheduling Software is a widely used technology, and many people are seeking innovative, secure software solutions with custom triggers and lead capture. Other important factors to consider when researching alternatives to Chili Piper include email and scheduling meetings."
Digital Feedback (Experience Managment),VERINT AMERICAS INC,Marketing Management,Market Intelligence,"Verint Digital Feedback captures customer-initiated feedback via web and mobile channels throughout the digital customer journey, empowering you to make smarter, faster business decisions. 

By enabling you to give your customers a voice about their customer experience (CX) on their terms, you can capture rich context regarding their feedback, and take real-time and targeted action. The result? Improvements to the consistency and quality of your CX that deliver measurable business impact."
Suite Service 360,GOOGLE - XXVI HOLDINGS INC,Marketing Management,Market Intelligence,"The GA 360 Suite Service is a shared digital service provided by Google to owners of web pages and applications comprised of Analytics 360, Attribution 360, Audience Center 360, Optimize 360, and Tag Manager 360.
Google Analytics 360 provides the tools and support that enterprise teams need to get actionable insights from their data.

With Google Analytics 360, your team can access advanced tools, like Unsampled Reports, BigQuery Export, and Data Driven Attribution, in addition to all the standard Analytics features and reports. 

Google Tag Manager allows you to manage and deploy marketing tags (snippets of code or tracking pixels) on your website (or mobile app) without having to modify the code."
Sales Navigator,MICROSOFT CORP,Customer Operational Platforms,Sales Mgmt,"LinkedIn Sales Navigator is a set of subscription-based offerings from LinkedIn. The offerings are designed to help sales professionals identify prospects, receive alerts on prospects' activities on LinkedIn and request introductions to prospects through shared connections. LinkedIN purchased by Microsoft."
Customer Experience,QUALTRICS LLC,Marketing Management,Market Intelligence,"Qualtrics empowers companies to capture and act on customer, product, brand & employee experience insights in one place. Request a personalized demo and we'll show you show you how you can use Qualtrics to design and improve the breakthrough experiences you deliver across your organization."
Google Analytics 360,GOOGLE - XXVI HOLDINGS INC,Marketing Management,Market Intelligence,"Google Analytics 360 provides the tools and support that enterprise teams need to get actionable insights from their data. With Google Analytics 360, your team can access advanced tools, like Unsampled Reports, BigQuery Export, and Data Driven Attribution, in addition to all the standard Analytics features and reports."
"Team Group, Team Leader Licenses",GARTNER INC,Marketing Management,Market Intelligence,"Global research and advisory firm providing information, advice, and tools for leaders in IT, finance, HR, customer service and support, communications, legal and compliance, marketing, sales, and supply chain functions."
Ambassador,ZFERRAL INC,Marketing Management,Marketing Content Design & Delivery,"Zferral, Inc. is a provider of an integrated platform designed to make referral and affiliate programs measurable and tunable. Its software is built to track and manage customer referrals."
Market Analytics and Visualization,CB INFORMATION SERVICES INC,Marketing Management,Market Intelligence,"Core Platform, to include: Private & Public Company Data; Industry Analytics; Client-Only Newsletter; Workflow (Collections, Notes, Stories); Core Intelligence."
C2CRM,CLEAR C2 INC,Telecom Network Management,Network Availability and Performance,"C2CRM consists of four modules that integrate to provide a comprehensive CRM solution: Relationship Management, Sales Automation, Marketing Automation"
Account-Based Experience (ABX),DEMANDBASE INC,Customer Operational Platforms,Sales Mgmt,"Account-based experience — ABX — reinvents ABM around the customer experience.

Inject Account Intelligence into every step of the B2B buyer journey and orchestrate every action across marketing and sales. That’s Smarter GTM.

The Engagement Platform is a single pane of glass that connects every source of intelligence and insight — and every sales and marketing play — so you spot opportunities earlier, engage with them more intelligently, and close deals faster."
SMS Messaging,SINCH AMERICA INC,Marketing Management,Messaging/Communication Systems,Sinch enables businesses to send text messages to large numbers of customers and to make video and voice calls. ... Any person with a handset is reachable by business across all mobile channels. 
Traction Hierarchies,TRACTION COMPLETE TECHNOLOGIES,Customer Operational Platforms,Sales Mgmt,"Traction Hierarchies automatically links all your accounts in Salesforce into their legal family trees in your system. This allows you to then match incoming
Leads and Contacts to these overall corporations in order to route them appropriately
 * product previously called Maze Runner"
Design Distributors Managed Services,DESIGN DISTRIBUTORS INC,Marketing Management,Marketing Content Design & Delivery,"Design Distributors is a One-Stop Direct Mail Company
Deep printing experience and high-level postal expertise combine to create direct mail and print marketing solutions invaluable to your business."
Quantum Metric,QUANTUM METRIC,Marketing Management,Market Intelligence,"Build products that have an impact. It's a process called Continuous Product Design, and we strive every day to enable them on their customer-centric mission.

Pass real-time session data to VoC, chat, a/b/n, and Application Performance Monitoring (APM) platforms, and rescue frustrated customers in the moment. 

Combat uninformed decisions and guesswork about what your customers are experiencing with session replay."
PeopleCloud,EPSILON HOLDINGS LTD,Marketing Management,Market Intelligence,"With Epsilon PeopleCloud Customer, an enterprise-ready Customer Data Platform (CDP), you'll power your multi-channel marketing with a single view of each customer. Using data-driven personalized marketing, you'll be able to predict which offer and channel will be the most successful for each individual at every step in their journey. View of customers and prospects'so you'll predict their future buying behaviors and build a lifetime of loyalty."
Epsilon MARS,EPSILON HOLDINGS LTD,Marketing Management,Market Intelligence,"MARS is a portable, integrated set of digital signal processing (DSP) 'software only  tools, including signal recognition/classification, radio identification, signal generation, signal transformation, and signal analysis capabilities. It can process live signals in the radio frequency (RF) environment, captured signals that have been stored to disk, and streaming data samples from client applications."
Customer Journey Analytics (CJA) / Adobe Analytics (AA),ADOBE SYSTEMS INC,Marketing Management,Market Intelligence,"Our cross-channel customer analytics solution helps you quickly understand your customers’ journeys — online and offline — giving you the insights to meet them with incredible real-time experiences at scale.

Collect data from across all your engagement channels. Then put that omnichannel data to work as it gets standardized and connected into a complete customer journey — all powered by Adobe Experience Platform.

Streaming data collection offers up-to-the-minute customer views and behaviors.
Data collected as customers move from online to in-store to call center and more.
Fully correlated data gives you unlimited breakdowns of any data element across any channel without writing SQL statements.
IDs from multiple channels and devices are connected into a single, unified customer profile.

Previously part of the Experience Platform Application Services (AEP App Svc) product"
Campaign Manager,ADOBE SYSTEMS INC,Marketing Management,Marketing Content Design & Delivery,"Adobe Campaign connects your online and offline marketing to improve speed, efficiency, personalization, and reporting by integrating with other powerful technologies from Adobe Experience Cloud and Creative Cloud."
Salesforce Enterprise,SALESFORCE COM INC,Customer Operational Platforms,Sales Mgmt,"Salesforce is a customer relationship management solution that brings companies and customers together. It's one integrated CRM platform that gives all your departments including marketing, sales, commerce, and service a single, shared view of every customer."
Customer Intelligence Platform,INTENT HQ AMERICAS INC,Marketing Management,Market Intelligence,"Intent HQ enables consumer brands to gain actionable insight on their customers. Intent HQ looks at the people behind the data to assist businesses to move from  customer centric  to  human centric  view; enabling to know who to market to, creating more helpful service interactions, shaping strategy and predicting customer behaviour.

The Platform that provides you with the following capabilities:
The ingestion and storage of your event level customer data, organized by individual.
A linear scale, configuration driven system to compute profiles in near real-time as data changes, allowing you to respond to customer changes on demand.
A collaborative toolset for your data scientists to safely automate and run complex tasks, including data sampling and feature generation on a production dataset.
The ability to host applications that  Know, Infer and Predict  customer attributes and behaviors from patterns in your data and easily take action on them.
APIs to orchestrate data to other business applications, enabling hyper-personalized experiences across all customer touch points.
An Insight Explorer that provides the ability to ask 'train of thought  questions on how customer behavior affects your core KPIs, and easily generate audiences based on this insight.
Compliance with applicable processor privacy regulations required for customer data processing, storage, retrieval and deletion, and managed via a comprehensive set of APIs for control of your customers' data."
Telogical Contact Center Application (CIC),TELOGICAL SYSTEMS LLC,Marketing Management,Market Intelligence,"Telogical is a full-service data provider; from data exploration to delivery
When our customers have pressing questions about the competition, we respond with timely, accurate data in a format that most clearly provides the right answer. Our services are multi-industry, and our data and tools have been used to support strategic planning, aid marketing functions, improve sales and retention outcomes, and forecast future customer behavior."
Ascend,EVOLV TECHNOLOGY SOLUTIONS INC,Marketing Management,Market Intelligence,"Ascend is the autonomous experience optimization solution for websites and mobile applications. Autonomous experience optimization solution for websites and mobile applications,Cloud Service: The Ascend service - Supplier's proprietary massively multivariate testing and optimization service that allows subscribers to test multiple improvements to a web or mobile property (including but not limited to, new text, new images, new styles, new design elements, and new layouts) for Visitors to the web and/or mobile property, and determine the combination or combinations of those improvements and existing site features which deliver the best performance against a goal set by the customer."
Intelligent Customer Engagement Platform,SESSION AI INC,Marketing Management,Market Intelligence,"Provider of cloud-based marketing technology designed to provide real-time brand-to-user interactions across all digital channels.

The  Intelligent Customer Engagement Platform enables an enterprise to run machine learning on live data streams from multiple digital sources to discover patterns and identify triggers that initiate personalized interactions in real time on any channel, such as apps, mobile web, websites, stores/branches.

Previously ZineOne"
Driveway Location Services,DRIVEWAY SOFTWARE CORP,Geographic Information Systems (GIS),Location-Aware Services,"Our patented artificial intelligence (AI) technology measures safe and unsafe driving behaviors automatically, right from a driver's smartphone. .  Provider of location specific services thru Map-Quest."
Data Services,IHS GLOBAL INC,Geographic Information Systems (GIS),Location-Aware Services,"OPIS will provide to MQ retail fuel station data and retail fuel price data for the US and Canada, if and when it is available including frequent updates, through direct data feed"
Gunshot Detection,SHOTSPOTTER INC,Geographic Information Systems (GIS),Location-Aware Services,"An advanced system of sensors, algorithms and artificial intelligence to detect, locate and alert police to gunfire.From Web - A gunfire locator or gunshot detection system is a system that detects and conveys the location of gunfire or other weapon fire using acoustic, optical, or potentially other types of sensors, as well as a combination of such sensors. These systems are used by law enforcement, security, military and businesses to identify the source and, in some cases, the direction of gunfire and/or the type of weapon fired."
Signal Collection and Intelligence Platform,THE WIRELESS REGISTRY INC,Geographic Information Systems (GIS),Location-Aware Services,"The Wireless Registry Inc., is the first global registry for wireless names and identifiers, enabling thousands of new proximal services, giving businesses and individuals the power to engage with their surroundings. TWR built a web service engine capable of associating links and meaning to detectable wireless names. This includes a Do Not Track My MAC Address Registry as well an SDK (Software Development Kit) to quickly engage and grow an ecosystem of developers who will access our registry to bring a proximal dimension to their mobile applications."
Connect2 Fiber,CONNECTIV,Geographic Information Systems (GIS),Cartography/Mapping,"Connected2Fiber's best-in-class and versatile data, application, and services offerings enable any seller, buyer, or user of connectivity to more effectively, efficiently, and confidently compete by providing the ability to quickly discover location-specific insight and then take immediate action on it to grow organizational revenue."
Google Maps,GOOGLE - XXVI HOLDINGS INC,Geographic Information Systems (GIS),Navigation Tools,"Google Maps is a web mapping service developed by Google. It offers satellite imagery, aerial photography, street maps, 360  interactive panoramic views of streets, real-time traffic conditions, and route planning for traveling by foot, car, bicycle and air, or public transportation.

 Web-based service that enables users to find local businesses, view maps, get driving directions"
Bing Maps,MICROSOFT CORP,Geographic Information Systems (GIS),Navigation Tools,"Bing Maps is a web mapping service provided as a part of Microsoft's Bing suite of search engines and powered by the Bing Maps for Enterprise framework.  Map multiple locations, get transit/walking/driving directions, view live traffic conditions, plan trips, view satellite, aerial and street side imagery."
Local Access and Transport Area Info (LATA Info),PRECISELY SOFTWARE INC,Geographic Information Systems (GIS),Cartography/Mapping,"Local access and transport area (LATA) geographic boundary data, including information about wire centers, area codes, and the major local exchange carriers (LEC) operating in each LATA."
Spectrum Enterprise Geocoding Module,PRECISELY SOFTWARE INC,Geographic Information Systems (GIS),Location-Aware Services,Pitney Bowes Application Spectrum - Part of the Enterprise Address Quality Solution. The vendor is Pitney Bowes.
Streetside View,MICROSOFT CORP,Geographic Information Systems (GIS),Cartography/Mapping,"Streetside provides a true-to-life view you can explore to get a feel for a place and plan your activities. Travel along streets, view storefronts and parks, and navigate to destinations without an address (or even street names) by using landmarks and familiar spots as visual cues."
GeoIP2,MAXMIND INC,Geographic Information Systems (GIS),Location-Aware Services,MaxMind GeoIP2 Web Services - MaxMind is a Massachusetts-based digital mapping company that provides location data for IP addresses.
Kalibrate,TRADE AREA SYSTEMS INC,Geographic Information Systems (GIS),Location-Aware Services,"TAS is a software platform designed to enhance your retail real estate processes. It provides the information people need to make better decisions faster using the platform that meets their needs - desktop GIS, online or mobile apps.  TAS is a Kalibrate Company."
Cell Maps,OOKLA LLC,Geographic Information Systems (GIS),Cartography/Mapping,"Ookla (Cell Maps formerly Mosaik Solutions product) is a company that specializes in wireless coverage data and wireless coverage maps. Show off your wireless network with coverage maps that are accurate, user friendly, and affordable. Our team of expert designers and developers create custom interactive maps that reflect your brand style and integrate seamlessly into your current site."
3-GIS Web,3-GIS LLC,Geographic Information Systems (GIS),Location-Aware Services,"3-GIS is leading the future of Geospatial Innovation by developing smart, simple and fast GIS solutions."
Google Street View,3-GIS LLC,Geographic Information Systems (GIS),Location-Aware Services,"Google Street View is a technology featured in Google Maps and Google Earth that provides interactive panoramas from positions along many streets in the world. It was launched in 2007 in several cities in the United States, and has since expanded to include cities and rural areas worldwide."
PxPoint Geocoder,CORELOGIC INC,Geographic Information Systems (GIS),Location-Aware Services,PxPoint Geocoder is a parcel level and spatial analytic engine that accurately coverts address and location information into geographic coordinates.
ArcGIS Enterprise,ENVIRONMENTAL SYSTEMS RESEARCH,Geographic Information Systems (GIS),Cartography/Mapping,"ArcGIS Online is a cloud-based mapping, analysis, and data'storage'system hosted by Esri that can be used to create, share, and manage maps, scenes, layers, apps, and other geographic content."
Address Verification,MELISSA DATA INC,Geographic Information Systems (GIS),Cartography/Mapping,Melissa Data is a database of addresses recognized by the US Postal Service. The record set contains all data for all addresses in the United States. Each address is properly formatted in a way consistent with a standard the postal service recognizes.
Multinet,TOM TOM NORTH AMERICA INC,Geographic Information Systems (GIS),Navigation Tools,"MultiNet Enterprise (MNE) is'TomTom's'comprehensive nationwide street, address, census and postal data source for use in a wide variety of applications."
Telegence,TELE ATLAS NORTH AMERICA INC,Geographic Information Systems (GIS),Cartography/Mapping,"Tele Atlas is a Netherlands-based company founded in 1984 which delivers digital maps and other dynamic content for navigation and location-based services, including personal and in-car navigation systems, and provides data used in a wide range of mobile and Internet map applications"
TrafficSense,CELLINT TRAFFIC SOLUTIONS LTD,Geographic Information Systems (GIS),Location-Aware Services,"TrafficSense connects to the main switching centers of the mobile network and tracks all active phones in real time, anonymously and passively, to the exact street they are traveling on, pin-pointing their exact location in short intervals"
3-GIS Mobile,3-GIS LLC,Geographic Information Systems (GIS),Location-Aware Services,"3-GIS Mobile is the field application for mobile network performance management, keeping system records accurate and provides real-time network information. It allows field users to view, edit, and create network features from their mobile device. Users can relocate features utilizing GNSS, adjust feature attributes, reshape linear features to more accurately depict how they exist in the real world, and track construction status."
3-GIS Prospector,3-GIS LLC,Geographic Information Systems (GIS),Location-Aware Services,"3-GIS Prospector brings the speed of an architectural engine to network building consulting and planning. Prospector looks across user-defined variables such as existing infrastructure, regulations, geographic barriers, and construction costs, then prescribes least-cost routes, expediting the planning workflow to get more fiber in the ground faster."
Here Platform,HERE HOLDING CORP,Geographic Information Systems (GIS),Location-Aware Services,"Find high-value curated map content, rich location data and services, advanced tools and infrastructure for developers, a global ecosystem for collaboration, and professional services and support-all in one fully integrated platform.

Whatever your location-related use case, make it happen with HERE. Our location data and technology platform empowers you to turn location data into business value quickly, efficiently and at scale."
MAPBOX,MAPBOX INC,Geographic Information Systems (GIS),Cartography/Mapping,Mapbox is a mapping and location cloud platform for developers. We're the building blocks; the SDKs and APIs for developers and designers to build real-time location awareness into their apps.
MOVEit,IPSWITCH,Enterprise Platforms,Enterprise Content Management (ECM),"Ipswitch secure and managed file transfer software helps IT teams succeed by enabling secure control of business transactions, applications & infrastructure."
Insight Forensic,ATOLA INC,IT Infrastructure Software Services,Other Utilities,"Atola Insight Forensic is an imager, data recovery tool for drive diagnostics, password removal, high-speed imaging, file recovery."
Marketplacer Platform,MARKETPLACER PTY LTD,Customer Operational Platforms,Retail & Ecommerce,"A Global, Tech Led Platform Which Enables You To Create All Types Of Marketplaces. We Make It Easier To Create Successful, Scalable And Limitless Online Marketplaces. Unified Commerce. Customised Solutions."
Qfiniti Observe Voice and Screen Module Call Center Agents Maintenance,OPEN TEXT CORP,Customer Operational Platforms,Customer Experience,"Call center recording software. Record an agent's voice and screen to facilitate quality assurance and provide innovative coaching tools, will be replaced by Verint"
IEX Workforce Management,NICE SYSTEMS INC,Customer Operational Platforms,Customer Experience,"NICE IEX Workforce Management is a cloud-based management'suite designed to meet the needs of businesses of all sizes, across all industries. By leveraging embedded artificial intelligence and machine learning algorithms, users can identify patterns, develop accurate forecasts and generate a variety of reports.

Consumer call center agent licenses for the IEX workforce management application - is a cloud-based management suite designed to meet the needs of businesses of all sizes, across all industries. By leveraging embedded artificial intelligence and machine learning algorithms, users can identify patterns, develop accurate forecasts and generate a variety of reports."
Device support platform,OZMO INC,Customer Operational Platforms,Customer Experience,Ozmo helps mobile operators and their consumers solve any device or software issue quickly and effectively. Device support is becoming increasingly complex as more devices and software updates are released.
Appsee Enterprise Plan,SHIFT 6 LTD,Customer Operational Platforms,Customer Experience,Customer Service Analytics tools providing a live view of the customer interaction with our FiOS service. The service gives visibility of the customer behavior to the Customer Service Agent facilitating the agent delivering a better level of support to the customer. In addition Appsee provide for the recording and analytics of customer behavior to help identify common errors made by the customer and areas of the customer interaction that prove more troublesome for the customer.
Music Content Platform,STARTLE INTERNATIONAL INC,Customer Operational Platforms,Retail & Ecommerce,"Music Content Platform License Subscriptions used in Retail stores
Comments on PO approval (appears to be miscoded): We pay Startle license fee for accessing and using their musical platform service/software. It was budgeted under audio/video material (account 770420), but item ID for Other DP was used. Now it is causing BVA variance each month. If it go through the reapproval again, it will also cause some confusion for the new approval chain due to V 2.0. Considering the circumstances, could you please make one time exception to override the approvals"
Merchandising platform,RBM TECHNOLOGIES INC,Customer Operational Platforms,Retail & Ecommerce,"RBM Technologies optimizes merchandising execution at each store for the world's leading brands. Their Merchandising Cloud application delivers localized visual merchandising, in-store execution, collaboration, and compliance, all unified in the cloud."
Retail Management Software (RMS),UNEFI LTD,Customer Operational Platforms,Retail & Ecommerce,"Store Merchandising Planning and Operational Management Software . The system provides faster, more accurate deployment of in-store programs, ettective management of fixtures and assets, and ensures supperior store execution and compliance.
Software Features: Fixed-Based Merchandising Database, Allocation of POP, Store Planning and Visualization, Notification and Compliance, Maintenance, Accessories, Digital, Reporting"
IQMETRIX,IQMETRIX USA INC,Customer Operational Platforms,Retail & Ecommerce,"Retail management, omnichannel, and point-of-sale solutions designed for telecom retailers to maximize operational efficiency, deliver a unified experience, and enable customers to buy anywhere."
Real-Time Coaching and Guidance,COGITO CORP,Customer Operational Platforms,Customer Experience,"Cogito offers an artificial intelligence coaching system for augmenting the emotional intelligence of phone professionals. Cogito measures how well a conversation is going while it is happening, and then provides real-time, AI-driven coaching to phone professionals, instant measurements of customer perception, and novel business insights."
Partnership Cloud,IMPACT TECH INC,Customer Operational Platforms,Customer Experience,"Partnership Cloud includes the following functionality (company name Impact.com)
Radius contains performance marketing program Program management tools enabling Visible to track impressions, clicks and conversions

Partner Insights is a reporting functionality that provides deeper insights into Partner relationships, such as Partner behavior, lifetime value, and contribution (to sales before the last click). It can also pull in data from all of a Company's marketing channels to help understand how Company's Partners interact with other channels like email and paid search, and how much of their Partner value is truly incremental.

Mediarails is a Company Relationship Management tool (CRM) that allows Company to import Partner information from various affiliate networks or spreadsheets into the Mediarails Product. Company will be able to segment and outreach to Partners to increase their engagement with Company

Attribution Risk is an attribution fraud detection tool, natively integrated into the Partnership Cloud, that monitors conversions tracked or processed by the Partnership Cloud via Impact's conversion API, batch file uploads and PageLoadAPI for clicks."
Matrixx Digital Commerce Platform,MATRIXX SOFTWARE INC,Customer Operational Platforms,Ordering & Billing,"Digital commerce platform used by large telecom companies for the management of operations support systems and billing support systems. Matrixx is the core online billing system for Visible. They have a full end-to-end stack with built in flexibility for pricing, online charging/metering. This is a true SAAS model, where Matrixx will be installed on a Google cloud platform and it can scale with customers growth. The systems stack includes a core online real time charging & policy controls platform that integrates with our Network and payment gateways, a lightweight true digital SDK kit for all digital platforms, a web based customer care application, a robust ordering and provisioning system, a business intelligence layer for analytics and a customer notifications engine."
Document and Mail Automation,OPEX CORP,Customer Operational Platforms,Ordering & Billing,Mail Handling Equipment and Services - high speed equipment for bill print and other volume mail centers
Khoros Community Engagement,KHOROS INC,Customer Operational Platforms,Customer Experience,"Khoros, formerly Spredfast + Lithium, is a global customer engagement software company that provides online community management, social media marketing, social media analytics, digital care, and content management software and services to enterprise brands and agencies."
Ratings and Reviews,BAZAARVOICE INC,Customer Operational Platforms,Customer Experience,"Bazaarvoice is a digital marketing company that provides software that allows retailers to add customer reviews to their websites. Bazaarvoice provides review submission services, including reading each review and determining if each review is acceptable or unacceptable and making any applicable updates. Services also include providing a website (dashboard) that contains error handling for rejected user generated reviews, reporting, statistics and pending transactions.
Customer Ratings & Reviews plus Q&A software and OEM Connections"
Customer Success (CS) Platform,GAINSIGHT INC,Customer Operational Platforms,Customer Experience,"Consolidate data from multiple sources into a central view, enabling teams to quickly and easily access a holistic view of the customer and their journey

Enable your cross-functional team to deliver customer outcomes by surfacing key insights on-the-go with our mobile app and in the tools they use everyday, such as your CRM and video conferencing platform"
X Platform,UNIPHORE SOFTWARE SYSTEMS INC,Customer Operational Platforms,Customer Experience,"Conversational Service Automation (CSA) Platform is the future of customer service. Leveraging Conversational AI, NLP and RPA, CSA optimizes customer-agent interactions increasing self-service rates, automating agent tasks including agent after call-work (ACW) and call disposition. All with an underlying analytics and security layer."
Bill Print - Mailing,PRECISELY SOFTWARE INC,Customer Operational Platforms,Ordering & Billing,"Pitney Bowes software subscription Maintenance for list of over 40 software products used in Bill Print, AR, Cash Applications"
Verint Interaction Recording,VERINT AMERICAS INC,Customer Operational Platforms,Customer Experience,"Verint Interaction Recording  is a proven, reliable system for capturing, indexing, and retrieving voice, screen, and other methods of interaction from traditional time-division multiplex (TDM), Internet Protocol (IP), Session Initiated Protocol (SIP), and advanced unified communication platforms. Includes Call Recording (Channel Based), Voice Interaction Recording, Screen Interaction Recording, Encryption Management, Interaction Data Platform"
Quality Management,VERINT AMERICAS INC,Customer Operational Platforms,Customer Experience,"With Verint Quality Management, you can evaluate all of the attributes of a customer interaction, including voice conversations and associated screen data, text-based interactions (such as chat), and video, right from a single screen.
The solution’s omnichannel interaction player provides personalized access to speaker-separated audio waveforms, speech analytics categories, emotions, keywords, interaction tags, annotations, screen recording, applications used by employees, and employee profile information

Automated Quality Management add on to Quality Management"
Order and Service Management (OSM),ORACLE,Customer Operational Platforms,Ordering & Billing,"Accelerate New Offering Design and Time to Market: Manage the order fulfillment lifecycle across enterprise systems-including billing, shipping, and workforce management while also managing and tracking service fulfillment activities across activation and inventory applications.

OSM is an order processing system that takes as input an order from a customer relationship management (CRM) system, and manages the fulfillment functions that need to be carried out to complete the order. 
Fulfillment functions include operations such as assigning a phone number, activating a service on the network, shipping a phone, and running billing.

Product information page: https://docs.oracle.com/communications/E96856-01/doc.74/e96918/cpt_overview.htm#OSMCN306"
Billing and Revenue Management,ORACLE,Customer Operational Platforms,Ordering & Billing,"Oracle Communications Billing and Revenue Management (BRM) provides an end-to-end revenue management system for communications service providers. Use BRM to configure product offerings, create customer accounts, charge for service usage, collect and analyze revenue, and manage customer relationships."
Oracle Communications Billing and Revenue Management,ORACLE,Customer Operational Platforms,Ordering & Billing,"Oracle Communications Billing and Revenue Management (BRM) provides the complete end-to-end solution for managing revenue, supporting key business processes that incorporate generation, capture, collection, and assurance of revenue. Combining the industry's most comprehensive functional footprint with the superior real-time architecture, Oracle is the leading worldwide provider of revenue management solutions for the global communications, media, cloud and digital services markets."
Advanced Discounting Manager,ORACLE,Customer Operational Platforms,Ordering & Billing,"Batch discounts and Support for discounts based on monthly fees and usage is included in Advanced Discounting Manager. Dynamic Discounting Management page (EM_PRO_DISC_ANALYS) to assist suppliers in searching for scheduled payments, accepted proposals, and offers that offer the least discount for the amount of capital required by a given date."
